No,Perguruan Tinggi,Peringkat,No. SK,Tahun SK,Wilayah,Tanggal Kadaluarsa,Status Kadaluarsa
723,Sekolah Tinggi Agama Islam Sumbawa,Baik,1790/SK/BAN-PT/Ak.P/PT/IX/2024,2024,PTAS,2026-09-17,Masih berlaku
2427,Sekolah Tinggi Agama Islam Syekh Jangkung,Baik,1991/SK/BAN-PT/Ak/PT/XII/2022,2022,PTAS,2027-12-06,Masih berlaku
3145,Sekolah Tinggi Agama Islam Syubbanul Wathon Magelang,Baik,281/SK/BAN-PT/Ak-PNB/PT/VI/2022,2022,PTAS,2025-11-25,Masih berlaku
224,Sekolah Tinggi Agama Islam Tanbihul Ghofilin Banjarnegara,Baik,35/SK/BAN-PT/Ak.P/PT/I/2025,2025,PTAS,2027-01-21,Masih berlaku
2816,Sekolah Tinggi Agama Islam Tebing Tinggi Deli,Baik,1421/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-06-23,61 hari lagi kedaluwarsa
2819,Sekolah Tinggi Agama Islam UISU Pematangsiantar,Baik,1286/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-05-24,31 hari lagi kedaluwarsa
2833,Sekolah Tinggi Agama Islam Walisembilan,Baik,1358/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-05-24,31 hari lagi kedaluwarsa
2970,Sekolah Tinggi Agama Islam YPK Imam Bonjol,Baik,1061/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-08-30,129 hari lagi kedaluwarsa
539,Sekolah Tinggi Agama Islam al-Akbar Surabaya,Baik,1979/SK/BAN-PT/Ak.P/PT/X/2024,2024,PTAS,2026-10-29,Masih berlaku
2186,Sekolah Tinggi Agama Katolik Negeri Pontianak,Baik,389/SK/BAN-PT/Ak/PT/V/2023,2023,PTAN,2028-05-30,Masih berlaku
485,Sekolah Tinggi Agama Kristen Abdi Wacana Pontianak,Baik,2000/SK/BAN-PT/Ak/PT/XI/2024,2024,PTAS,2029-11-05,Masih berlaku
1634,Sekolah Tinggi Agama Kristen Apollos Manado,Tidak Terakreditasi,95/SK/BAN-PT/PEPA-Ppj/PT/I/2024,2024,PTAS,,Masih berlaku
2536,Sekolah Tinggi Agama Kristen Arastamar Grimenawa Jayapura,Baik,1881/SK/BAN-PT/Ak.Ppj/PT/XI/2022,2022,PTAS,2027-08-16,Masih berlaku
3363,Sekolah Tinggi Agama Kristen Bina Muda Wirawan Wonogiri,Baik,845/SK/BAN-PT/Akred/PT/IX/2021,2021,PTAS,2026-09-21,Masih berlaku
3582,Sekolah Tinggi Agama Kristen Diaspora Wamena,Tidak Terakreditasi,455/SK/BAN-PT/Ak-TMSP/PT/V/2021,2021,PTAS,,Masih berlaku
1082,Sekolah Tinggi Agama Kristen Kupang Provinsi Nusa Tenggara Timur,Baik,1395/SK/BAN-PT/Ak/PT/VII/2024,2024,PTAS,2029-07-23,Masih berlaku
3373,Sekolah Tinggi Agama Kristen Lentera Bangsa Manado,Baik,824/SK/BAN-PT/Akred/PT/IX/2021,2021,PTAS,2026-09-14,Masih berlaku
716,Sekolah Tinggi Agama Kristen Luwuk Banggai,Baik,1800/SK/BAN-PT/Ak/PT/IX/2024,2024,PTAS,2029-09-17,Masih berlaku
2542,Sekolah Tinggi Agama Kristen Nabire,Baik,1802/SK/BAN-PT/Ak/PT/XI/2022,2022,PTAS,2027-11-01,Masih berlaku
2864,Sekolah Tinggi Agama Kristen Negeri Kupang,Baik,1120/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAN,2025-08-08,107 hari lagi kedaluwarsa
3381,Sekolah Tinggi Agama Kristen Oikumene Timika,Baik,813/SK/BAN-PT/Akred/PT/IX/2021,2021,PTAS,2026-09-07,Masih berlaku
2803,Sekolah Tinggi Agama Kristen Protestan Negeri Sentani,Baik,1471/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAN,2025-05-24,31 hari lagi kedaluwarsa
1252,Sekolah Tinggi Agama Kristen Reformed Remnant Internasional Minahasa Provinsi Sulawesi Utara,Baik,1173/SK/BAN-PT/Ak/PT/VI/2024,2024,PTAS,2029-06-11,Masih berlaku
3322,Sekolah Tinggi Agama Kristen Terpadu Pesat Salatiga,Baik,940/SK/BAN-PT/Akred/PT/X/2021,2021,PTAS,2026-10-27,Masih berlaku
3350,Sekolah Tinggi Agama Kristen Teruna Bhakti,Baik,888/SK/BAN-PT/Akred/PT/X/2021,2021,PTAS,2026-10-06,Masih berlaku
