No,Perguruan Tinggi,Peringkat,No. SK,Tahun SK,Wilayah,Tanggal Kadaluarsa,Status Kadaluarsa
4016,Politeknik Kesehatan Kemenkes Malang,B,797/SK/BAN-PT/Ak-PPJ/PT/X/2020,2020,PTKL,2025-10-04,164 hari lagi kedaluwarsa
4085,Politeknik Kesehatan Kemenkes Manado,B,206/SK/BAN-PT/Ak-PPJ/PT/V/2020,2020,PTKL,2025-05-10,17 hari lagi kedaluwarsa
3274,Politeknik Kesehatan Kementerian Kesehatan Kupang,B,1079/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2026-12-28,Masih berlaku
3107,Politeknik Kesehatan Kerta Cendekia,Baik,358/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,07,2025-09-15,145 hari lagi kedaluwarsa
1170,Politeknik Kesehatan Kesuma Bangsa,Baik,1325/SK/BAN-PT/Ak/PT/VII/2024,2024,02,2029-07-02,Masih berlaku
976,Politeknik Kesehatan Megarezky,Baik,1480/SK/BAN-PT/Ak/PT/VIII/2024,2024,09,2029-08-13,Masih berlaku
1472,Politeknik Kesehatan Permata Indonesia Yogyakarta,B,407/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,05,2029-04-11,Masih berlaku
1878,Politeknik Kesehatan Putra Indonesia Malang,Baik,931/SK/BAN-PT/Ak-PNB/PT/XI/2023,2023,07,2026-06-15,Masih berlaku
1028,Politeknik Kesehatan Siteba,Baik,1465/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,10,2026-08-07,Masih berlaku
3725,Politeknik Kesehatan TNI AU Adisutjipto,Baik,181/SK/BAN-PT/Akred/PT/III/2021,2021,05,2026-03-09,Masih berlaku
3837,Politeknik Kesehatan TNI AU Ciumbuleuit,B,1149/SK/BAN-PT/Ak-PPJ/PT/XII/2020,2020,04,2025-12-20,Masih berlaku
3242,Politeknik Kesehatan Ummi Khasanah,B,6/SK/BAN-PT/Ak-PPJ/PT/I/2022,2022,05,2026-12-28,Masih berlaku
890,Politeknik Kesehatan Wira Husada Nusantara Malang,Baik,1623/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,07,2026-08-18,Masih berlaku
2265,Politeknik Kesehatan YBA Bandung,Baik,273/SK/BAN-PT/Ak-PNB/PT/IV/2023,2023,04,2026-07-21,Masih berlaku
1238,Politeknik Kesehatan YRSU Dr Rusdi,Baik,1184/SK/BAN-PT/Ak.P/PT/VI/2024,2024,01,2026-06-25,Masih berlaku
3691,Politeknik Kesejahteraan Sosial Bandung,Baik Sekali,247/SK/BAN-PT/Akred/PT/III/2021,2021,PTKL,2026-03-24,Masih berlaku
1309,Politeknik Keselamatan Transportasi Jalan,Baik Sekali,1055/SK/BAN-PT/Ak.KP/PT/V/2024,2024,PTKL,2028-12-20,Masih berlaku
3042,Politeknik Ketenagakerjaan,Baik,463/SK/BAN-PT/Ak/PT/VIII/2022,2022,PTKL,2027-08-23,Masih berlaku
3732,Politeknik Keuangan Negara STAN,Baik Sekali,166/SK/BAN-PT/Akred/PT/III/2021,2021,PTKL,2026-03-09,Masih berlaku
3969,Politeknik Kota Malang,Baik,938/SK/BAN-PT/Akred/PT/XI/2020,2020,07,2025-11-11,Masih berlaku
2760,Politeknik Kotabaru,Baik,1196/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,11,2026-12-28,Masih berlaku
638,Politeknik Krakatau,Baik,1854/SK/BAN-PT/Ak/PT/X/2024,2024,04,2029-10-08,Masih berlaku
859,Politeknik Kreatif Indonesia,Baik,1652/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,03,2026-08-18,Masih berlaku
2298,Politeknik Kutaraja,Baik,222/SK/BAN-PT/Ak/PT/III/2023,2023,13,2028-03-28,Masih berlaku
1541,Politeknik LP3I Jakarta,Baik,217/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,03,2029-03-06,Masih berlaku
1671,Politeknik LP3I Medan,Baik,1195/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,01,2028-11-09,Masih berlaku
3755,Politeknik LPP Yogyakarta,Baik Sekali,106/SK/BAN-PT/Akred/PT/II/2021,2021,05,2026-02-23,Masih berlaku
1586,Politeknik Lamandau,Baik,152/SK/BAN-PT/Ak/PT/II/2024,2024,11,2029-02-27,Masih berlaku
1773,Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia Makassar,Baik,1108/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,09,2028-12-20,Masih berlaku
288,Politeknik Lembaga Pendidikan dan Pengembangan Profesi Indonesia,Baik Sekali,2190/SK/BAN-PT/Ak/PT/XII/2024,2024,04,2029-12-11,Masih berlaku
687,Politeknik Lengguru,Baik,1832/SK/BAN-PT/Ak.P/PT/X/2024,2024,14,2026-10-03,Masih berlaku
937,Politeknik Lingga,Baik,1568/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,17,2026-08-14,Masih berlaku
255,Politeknik Madyathika,Baik,9/SK/BAN-PT/Ak/PT/I/2025,2025,06,2030-01-14,Masih berlaku
2671,Politeknik Malinau,Baik,1519/SK/BAN-PT/Ak/PT/IX/2022,2022,11,2027-09-27,Masih berlaku
2002,Politeknik Mandiri Bina Prestasi,Baik,704/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,01,2028-07-25,Masih berlaku
3531,Politeknik Manufaktur Bandung,Baik Sekali,523/SK/BAN-PT/Akred/PT/VI/2021,2021,PTN,2026-06-08,Masih berlaku
1707,Politeknik Manufaktur Ceper,Baik,1223/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,06,2028-12-06,Masih berlaku
3605,Politeknik Manufaktur Negeri Bangka Belitung,Baik,393/SK/BAN-PT/Akred/PT/V/2021,2021,PTN,2026-05-04,Masih berlaku
1204,Politeknik Mardira Indonesia,Baik,1240/SK/BAN-PT/Ak.P/PT/VI/2024,2024,04,2026-06-26,Masih berlaku
2404,Politeknik Maritim AMI Makassar,Baik Sekali,4/SK/BAN-PT/Ak.KP/PT/I/2023,2023,09,2026-09-09,Masih berlaku
1203,Politeknik Maritim Eka Utama Subang,Baik,1251/SK/BAN-PT/Ak.P/PT/VI/2024,2024,04,2026-06-26,Masih berlaku
2549,Politeknik Maritim Negeri Indonesia,Baik Sekali,1799/SK/BAN-PT/Ak/PT/XI/2022,2022,PTN,2027-11-01,Masih berlaku
1178,Politeknik Masamy Internasional,Baik,1300/SK/BAN-PT/Ak.P/PT/VII/2024,2024,07,2026-07-02,Masih berlaku
818,Politeknik Medica Farma Husada Mataram,Baik,1680/SK/BAN-PT/Ak.B/PT/VIII/2024,2024,08,2026-08-19,Masih berlaku
244,Politeknik Merdeka Belajar Indonesia,Baik,40/SK/BAN-PT/Ak.P/PT/I/2025,2025,04,2027-01-21,Masih berlaku
4027,Politeknik Meta Industri Cikarang,Baik,720/SK/BAN-PT/Akred/PT/IX/2020,2020,04,2025-09-15,145 hari lagi kedaluwarsa
3929,Politeknik Mitra Karya Mandiri,Baik,1009/SK/BAN-PT/Akred/PT/XII/2020,2020,06,2025-12-01,Masih berlaku
998,Politeknik Muara Dua,Baik,1492/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,02,2026-08-13,Masih berlaku
648,Politeknik Muara Teweh,Baik,1855/SK/BAN-PT/Ak/PT/X/2024,2024,11,2029-10-08,Masih berlaku
338,Politeknik Muhammadiyah Magelang,Baik,2160/SK/BAN-PT/Ak/PT/XII/2024,2024,06,2029-12-02,Masih berlaku
26,Politeknik Muhammadiyah Makassar,Baik,2146/SK/BAN-PT/Ak.S/PT/IV/2025,2025,09,9999-01-01,Masih berlaku
1602,Politeknik Muhammadiyah Tegal,Baik,113/SK/BAN-PT/Ak/PT/II/2024,2024,06,2029-02-20,Masih berlaku
1047,Politeknik Multimedia Nusantara,Baik,1442/SK/BAN-PT/Ak/PT/VIII/2024,2024,03,2029-08-06,Masih berlaku
3914,Politeknik NSC Surabaya,Baik,1024/SK/BAN-PT/Akred/PT/XII/2020,2020,07,2025-12-02,Masih berlaku
3177,Politeknik Nasional,Baik,166/SK/BAN-PT/Ak-PNB/PT/IV/2022,2022,08,2026-03-16,Masih berlaku
4087,Politeknik Negeri Ambon,B,209/SK/BAN-PT/Ak-PPJ/PT/V/2020,2020,PTN,2025-05-10,17 hari lagi kedaluwarsa
2507,Politeknik Negeri Bali,Baik Sekali,1834/SK/BAN-PT/Ak/PT/XI/2022,2022,PTN,2027-11-08,Masih berlaku
1476,Politeknik Negeri Balikpapan,Baik Sekali,350/SK/BAN-PT/Ak/PT/III/2024,2024,PTN,2029-03-26,Masih berlaku
2041,Politeknik Negeri Bandung,Unggul,609/SK/BAN-PT/Ak.KP/PT/IX/2023,2023,PTN,2026-12-21,Masih berlaku
1562,Politeknik Negeri Banjarmasin,B,183/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,PTN,2029-03-20,Masih berlaku
2639,Politeknik Negeri Banyuwangi,Baik Sekali,1638/SK/BAN-PT/Ak/PT/X/2022,2022,PTN,2027-10-11,Masih berlaku
1801,Politeknik Negeri Batam,Baik Sekali,989/SK/BAN-PT/Ak.KP/PT/XI/2023,2023,PTN,2028-04-25,Masih berlaku
3884,Politeknik Negeri Bengkalis,Baik Sekali,1036/SK/BAN-PT/Akred/PT/XII/2020,2020,PTN,2025-12-08,Masih berlaku
3423,Politeknik Negeri Cilacap,Baik,706/SK/BAN-PT/Akred/PT/VIII/2021,2021,PTN,2026-08-03,Masih berlaku
3007,Politeknik Negeri Fakfak,Baik,630/SK/BAN-PT/Ak/PT/IX/2022,2022,PTN,2027-09-06,Masih berlaku
3886,Politeknik Negeri Indramayu,Baik,1039/SK/BAN-PT/Akred/PT/XII/2020,2020,PTN,2025-12-08,Masih berlaku
1171,Politeknik Negeri Jakarta,Unggul,1286/SK/BAN-PT/Ak/PT/VII/2024,2024,PTN,2029-07-02,Masih berlaku
4062,Politeknik Negeri Jember,B,398/SK/BAN-PT/Ak-PPJ/PT/VI/2020,2020,PTN,2025-06-28,66 hari lagi kedaluwarsa
2588,Politeknik Negeri Ketapang,Baik,1688/SK/BAN-PT/Ak/PT/X/2022,2022,PTN,2027-10-18,Masih berlaku
3808,Politeknik Negeri Kupang,Baik,1191/SK/BAN-PT/Akred/PT/XII/2020,2020,PTN,2025-12-22,Masih berlaku
2551,Politeknik Negeri Lampung,Baik Sekali,1797/SK/BAN-PT/Ak/PT/XI/2022,2022,PTN,2027-11-01,Masih berlaku
2988,Politeknik Negeri Lhokseumawe,Baik Sekali,865/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTN,2026-12-28,Masih berlaku
1226,Politeknik Negeri Madiun,Baik Sekali,1213/SK/BAN-PT/Ak/PT/VI/2024,2024,PTN,2029-06-25,Masih berlaku
2993,Politeknik Negeri Madura,Baik Sekali,847/SK/BAN-PT/Ak/PT/IX/2022,2022,PTN,2027-09-13,Masih berlaku
1694,Politeknik Negeri Malang,B,1222/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,PTN,2028-12-20,Masih berlaku
2070,Politeknik Negeri Manado,B,586/SK/BAN-PT/Ak.Ppj/PT/IX/2023,2023,PTN,2028-09-19,Masih berlaku
4061,Politeknik Negeri Medan,B,399/SK/BAN-PT/Ak-PPJ/PT/VI/2020,2020,PTN,2025-06-28,66 hari lagi kedaluwarsa
3710,Politeknik Negeri Media Kreatif,Baik Sekali,203/SK/BAN-PT/Akred/PT/III/2021,2021,PTN,2026-03-16,Masih berlaku
1591,Politeknik Negeri Nunukan,Baik,153/SK/BAN-PT/Ak/PT/II/2024,2024,PTN,2029-02-27,Masih berlaku
3595,Politeknik Negeri Nusa Utara,Baik Sekali,409/SK/BAN-PT/Akred/PT/V/2021,2021,PTN,2026-05-05,Masih berlaku
3858,Politeknik Negeri Padang,Baik Sekali,1082/SK/BAN-PT/Akred/PT/XII/2020,2020,PTN,2025-12-15,Masih berlaku
3275,Politeknik Negeri Pontianak,B,1098/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTN,2026-12-28,Masih berlaku
439,Politeknik Negeri Samarinda,Baik Sekali,2065/SK/BAN-PT/Ak.KP/PT/XI/2024,2024,PTN,2028-03-21,Masih berlaku
2515,Politeknik Negeri Sambas,Baik Sekali,1825/SK/BAN-PT/Ak/PT/XI/2022,2022,PTN,2027-11-08,Masih berlaku
3251,Politeknik Negeri Semarang,A,1062/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTN,2026-12-21,Masih berlaku
3925,Politeknik Negeri Sriwijaya,Baik Sekali,994/SK/BAN-PT/Akred/PT/XII/2020,2020,PTN,2025-12-01,Masih berlaku
3634,Politeknik Negeri Subang,Baik,344/SK/BAN-PT/Akred/PT/IV/2021,2021,PTN,2026-04-20,Masih berlaku
4086,Politeknik Negeri Tanah Laut,B,205/SK/BAN-PT/Ak-PPJ/PT/V/2020,2020,PTN,2025-05-10,17 hari lagi kedaluwarsa
3189,Politeknik Negeri Ujung Pandang,Baik Sekali,129/SK/BAN-PT/Akred-PMT/PT/III/2022,2022,PTN,2027-03-22,Masih berlaku
155,Politeknik Nest,Baik,81/SK/BAN-PT/Ak/PT/II/2025,2025,06,2030-02-18,Masih berlaku
928,Politeknik Nusantara Makassar,Baik,1569/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,09,2026-08-14,Masih berlaku
136,Politeknik Omna Trisakti Chandra,Tidak Terakreditasi,2034/SK/BAN-PT/Ak-TMSP/PT/III/2025,2025,08,,Masih berlaku
967,Politeknik Omna Trisakti Chandra,Baik,1512/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,08,2026-08-13,Masih berlaku
1971,Politeknik PGRI Banten,Baik,790/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,04,2028-10-31,Masih berlaku
3503,Politeknik Pajajaran Insan Cinta Bangsa Bandung,Baik,569/SK/BAN-PT/Akred/PT/VI/2021,2021,04,2026-06-22,Masih berlaku
2216,Politeknik Palcomtech,Baik,350/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,02,2028-05-31,Masih berlaku
1114,Politeknik Palu,Baik,1366/SK/BAN-PT/Ak.B/PT/VII/2024,2024,16,2026-07-15,Masih berlaku
1121,Politeknik Pancasakti Global,Baik,1372/SK/BAN-PT/Ak-PNB/PT/VII/2024,2024,06,2029-02-06,Masih berlaku
1022,Politeknik Paramata Raha,Baik,1496/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,09,2026-08-13,Masih berlaku
1921,Politeknik Pariwisata Bali,Baik Sekali,815/SK/BAN-PT/Ak.KP/PT/X/2023,2023,PTKL,2028-04-04,Masih berlaku
3697,Politeknik Pariwisata Batam,Baik,234/SK/BAN-PT/Akred/PT/III/2021,2021,17,2026-03-23,Masih berlaku
2508,Politeknik Pariwisata Lombok,Baik Sekali,1824/SK/BAN-PT/Ak/PT/XI/2022,2022,PTKL,2027-11-08,Masih berlaku
3052,Politeknik Pariwisata Makassar,Baik Sekali,454/SK/BAN-PT/Ak/PT/VIII/2022,2022,PTKL,2027-08-23,Masih berlaku
3026,Politeknik Pariwisata Medan,Baik Sekali,579/SK/BAN-PT/Ak/PT/VIII/2022,2022,PTKL,2027-08-30,Masih berlaku
1763,Politeknik Pariwisata NHI Bandung,Unggul,1067/SK/BAN-PT/Ak/PT/XII/2023,2023,PTKL,2028-12-05,Masih berlaku
2087,Politeknik Pariwisata Palembang,Baik Sekali,539/SK/BAN-PT/Ak/PT/VIII/2023,2023,PTKL,2028-08-22,Masih berlaku
3114,Politeknik Pariwisata Prima Internasional,Baik,340/SK/BAN-PT/Akred/PT/VII/2022,2022,04,2027-07-12,Masih berlaku
3070,Politeknik Pekerjaan Umum,Baik,410/SK/BAN-PT/Ak/PT/VIII/2022,2022,PTKL,2027-08-02,Masih berlaku
3415,Politeknik Pelayaran Banten,Baik,739/SK/BAN-PT/Akred/PT/VIII/2021,2021,PTKL,2026-08-10,Masih berlaku
2001,Politeknik Pelayaran Barombong,Baik,688/SK/BAN-PT/Ak/PT/X/2023,2023,PTKL,2028-10-03,Masih berlaku
2178,Politeknik Pelayaran Malahayati,Baik,413/SK/BAN-PT/Ak/PT/VI/2023,2023,PTKL,2028-06-13,Masih berlaku
3298,Politeknik Pelayaran Sorong,Baik,994/SK/BAN-PT/Akred/PT/XI/2021,2021,PTKL,2026-11-23,Masih berlaku
743,Politeknik Pelayaran Sulawesi Utara,Baik,1768/SK/BAN-PT/Ak.P/PT/IX/2024,2024,PTKL,2026-09-10,Masih berlaku
1949,Politeknik Pelayaran Sumatera Barat,Baik,800/SK/BAN-PT/Ak/PT/X/2023,2023,PTKL,2028-10-24,Masih berlaku
576,Politeknik Pelayaran Surabaya,Unggul,1932/SK/BAN-PT/Ak/PT/X/2024,2024,PTKL,2029-10-19,Masih berlaku
3376,Politeknik Pembangunan Pertanian Bogor,B,827/SK/BAN-PT/Ak-PPJ/PT/IX/2021,2021,PTKL,2026-09-09,Masih berlaku
4020,Politeknik Pembangunan Pertanian Gowa,B,792/SK/BAN-PT/Ak-PPJ/PT/X/2020,2020,PTKL,2025-10-04,164 hari lagi kedaluwarsa
3369,Politeknik Pembangunan Pertanian Malang,Baik Sekali,829/SK/BAN-PT/AK-ISK/PT/IX/2021,2021,PTKL,2026-02-13,Masih berlaku
1394,Politeknik Pembangunan Pertanian Manokwari,Baik Sekali,1132/SK/BAN-PT/Akred-PMT/PT/XII/2021,2021,PTKL,2026-12-31,Masih berlaku
3833,Politeknik Pembangunan Pertanian Medan,B,1142/SK/BAN-PT/Ak-PPJ/PT/XII/2020,2020,PTKL,2025-12-20,Masih berlaku
3486,Politeknik Pembangunan Pertanian Yogyakarta - Magelang,Baik Sekali,522/SK/BAN-PT/AK-ISK/PT/VI/2021,2021,PTKL,2026-05-21,Masih berlaku
3801,Politeknik Penerbangan Indonesia Curug,Baik Sekali,31/SK/BAN-PT/Akred/PT/I/2021,2021,PTKL,2026-01-12,Masih berlaku
2288,Politeknik Penerbangan Jayapura,Baik,242/SK/BAN-PT/Ak/PT/IV/2023,2023,PTKL,2028-04-04,Masih berlaku
3286,Politeknik Penerbangan Makassar,Baik,1020/SK/BAN-PT/Akred/PT/XII/2021,2021,PTKL,2026-12-14,Masih berlaku
3257,Politeknik Penerbangan Medan,B,1101/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2026-11-25,Masih berlaku
2444,Politeknik Penerbangan Palembang,Baik,1948/SK/BAN-PT/Ak/PT/XI/2022,2022,PTKL,2027-11-29,Masih berlaku
3859,Politeknik Penerbangan Surabaya,Baik Sekali,1085/SK/BAN-PT/Akred/PT/XII/2020,2020,PTKL,2025-12-15,Masih berlaku
1530,Politeknik Perdamaian Halmahera,Baik,230/SK/BAN-PT/PEPA-Ppj/PT/III/2024,2024,12,2029-03-08,Masih berlaku
1894,Politeknik Perdana Mandiri,Baik,919/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,04,2028-11-28,Masih berlaku
1964,Politeknik Perikanan Negeri Tual,Baik Sekali,771/SK/BAN-PT/Ak/PT/X/2023,2023,PTN,2028-10-17,Masih berlaku
427,Politeknik Perkapalan Negeri Surabaya,Unggul,2067/SK/BAN-PT/Ak.KP/PT/XI/2024,2024,PTN,2028-12-29,Masih berlaku
3131,Politeknik Perkeretaapian Indonesia Madiun,Baik Sekali,294/SK/BAN-PT/Akred/PT/VI/2022,2022,PTKL,2027-06-28,Masih berlaku
4040,Politeknik Pertanian Negeri Kupang,B,602/SK/BAN-PT/Ak-PPJ/PT/VIII/2020,2020,PTN,2025-08-22,121 hari lagi kedaluwarsa
4080,Politeknik Pertanian Negeri Pangkajene Kepulauan,B,242/SK/BAN-PT/Ak-PPJ/PT/V/2020,2020,PTN,2025-05-16,23 hari lagi kedaluwarsa
2280,Politeknik Pertanian Negeri Payakumbuh,B,267/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,PTN,2028-04-25,Masih berlaku
4001,Politeknik Pertanian Negeri Samarinda,Baik Sekali,859/SK/BAN-PT/Akred/PT/X/2020,2020,PTN,2025-10-20,180 hari lagi kedaluwarsa
483,Politeknik Pertanian Yasanto,Baik,2008/SK/BAN-PT/Ak/PT/XI/2024,2024,14,2029-11-05,Masih berlaku
3492,Politeknik Pertanian dan Peternakan Mapena,Baik,600/SK/BAN-PT/Akred/PT/VI/2021,2021,07,2026-06-29,Masih berlaku
1751,Politeknik Piksi Ganesha,B,1127/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,04,2028-12-20,Masih berlaku
674,Politeknik Piksi Ganesha Indonesia,Baik Sekali,1841/SK/BAN-PT/Ak.KP/PT/X/2024,2024,06,2028-12-13,Masih berlaku
2780,Politeknik Piksi Input Serang,Baik,1244/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,04,2026-01-30,Masih berlaku
3718,Politeknik Praktisi Bandung,Baik,190/SK/BAN-PT/Akred/PT/III/2021,2021,04,2026-03-10,Masih berlaku
581,Politeknik Prasetiya Mandiri,Baik,1952/SK/BAN-PT/Ak-PNB/PT/X/2024,2024,04,2027-12-06,Masih berlaku
1417,Politeknik Pratama Mulia,Baik,437/SK/BAN-PT/PEPA-Ppj/PT/IV/2024,2024,06,2029-04-10,Masih berlaku
3203,Politeknik Purbaya,Baik,114/SK/BAN-PT/Akred/PT/III/2022,2022,06,2027-03-08,Masih berlaku
1632,Politeknik Putra Bangsa Pontianak,Tidak Terakreditasi,80/SK/BAN-PT/PEPA-Ppj/PT/I/2024,2024,11,,Masih berlaku
3080,Politeknik Raflesia,Baik,205/SK/BAN-PT/Ak-PPJ/PT/V/2022,2022,02,2027-05-24,Masih berlaku
809,Politeknik Rukun Abdi Luhur,Baik,1693/SK/BAN-PT/Ak/PT/VIII/2024,2024,06,2029-08-19,Masih berlaku
2762,Politeknik ST. Wilhelmus,Baik,1440/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,15,2026-12-28,Masih berlaku
3190,Politeknik STIA LAN Bandung,Baik Sekali,150/SK/BAN-PT/Akred-PMT/PT/IV/2022,2022,PTKL,2027-04-12,Masih berlaku
3244,Politeknik STIA LAN Jakarta,B,1127/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTKL,2026-09-09,Masih berlaku
3067,Politeknik STMI Jakarta,Baik Sekali,421/SK/BAN-PT/Ak/PT/VIII/2022,2022,PTKL,2027-08-09,Masih berlaku
1552,Politeknik STTT Bandung,Unggul,176/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,PTKL,2029-02-20,Masih berlaku
2195,Politeknik Sahid,Baik Sekali,383/SK/BAN-PT/Ak/PT/V/2023,2023,03,2028-05-24,Masih berlaku
1103,Politeknik Sains &amp; Teknologi Wiratama Maluku Utara,Baik,1365/SK/BAN-PT/Ak.S/PT/VII/2024,2024,12,9999-01-01,Masih berlaku
1197,Politeknik Sains Seni Rekakresi,Baik,1259/SK/BAN-PT/Ak.P/PT/VI/2024,2024,04,2026-06-26,Masih berlaku
1967,Politeknik Sampit,Baik,774/SK/BAN-PT/Ak/PT/X/2023,2023,11,2028-10-17,Masih berlaku
811,Politeknik Sandi Karsa,Baik,1699/SK/BAN-PT/Ak/PT/VIII/2024,2024,09,2029-08-19,Masih berlaku
2939,Politeknik Sawunggalih Aji,Baik,999/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,06,2026-07-02,Masih berlaku
2733,Politeknik Sekayu,Baik,1446/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,02,2025-08-22,121 hari lagi kedaluwarsa
86,Politeknik Semen Indonesia,Baik,2080/SK/BAN-PT/Ak/PT/III/2025,2025,07,2030-03-19,Masih berlaku
1201,Politeknik Sendawar,Baik,1279/SK/BAN-PT/Ak.B/PT/VI/2024,2024,11,2026-06-26,Masih berlaku
1979,Politeknik Seruyan,Baik,713/SK/BAN-PT/Ak/PT/X/2023,2023,11,2028-10-10,Masih berlaku
1199,Politeknik Siber Cerdika Internasional,Baik,1261/SK/BAN-PT/Ak.P/PT/VI/2024,2024,04,2026-06-26,Masih berlaku
643,Politeknik Siber dan Sandi Negara,Baik Sekali,1856/SK/BAN-PT/Ak/PT/X/2024,2024,PTKL,2029-10-08,Masih berlaku
3630,Politeknik Sinar Mas Berau Coal,Baik,346/SK/BAN-PT/Akred/PT/IV/2021,2021,11,2026-04-20,Masih berlaku
594,Politeknik Statistika STIS,Baik,1887/SK/BAN-PT/Ak.P/PT/X/2024,2024,PTKL,2026-10-15,Masih berlaku
4004,Politeknik Stibisnis,Baik,845/SK/BAN-PT/Akred/PT/X/2020,2020,06,2025-10-14,174 hari lagi kedaluwarsa
87,Politeknik Sukabumi,Baik,2076/SK/BAN-PT/Ak/PT/III/2025,2025,04,2030-03-19,Masih berlaku
3795,Politeknik Surabaya,Tidak Terakreditasi,1123/SK/BAN-PT/Ak-TMSP/PT/XII/2020,2020,07,,Masih berlaku
2937,Politeknik TEDC,Baik,891/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,04,2026-06-18,Masih berlaku
287,Politeknik Takumi,Baik,2210/SK/BAN-PT/Ak/PT/XII/2024,2024,04,2029-12-11,Masih berlaku
3598,Politeknik Tanjungbalai,Baik,403/SK/BAN-PT/Akred/PT/V/2021,2021,01,2026-05-04,Masih berlaku
1025,Politeknik Teknokrat Internasional Kolaka,Baik,1481/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,09,2026-08-13,Masih berlaku
4045,Politeknik Teknologi Kimia Industri,B,496/SK/BAN-PT/Ak-PPJ/PT/VII/2020,2020,PTKL,2025-07-11,79 hari lagi kedaluwarsa
1958,Politeknik Teknologi Nuklir Indonesia,Baik Sekali,765/SK/BAN-PT/Ak/PT/X/2023,2023,PTKL,2028-10-17,Masih berlaku
139,Politeknik Tempo,Baik,110/SK/BAN-PT/Ak/PT/II/2025,2025,03,2030-02-25,Masih berlaku
3230,Politeknik Tiara Bunda,Baik,49/SK/BAN-PT/Akred/PT/I/2022,2022,04,2027-01-27,Masih berlaku
3885,Politeknik Tonggak Equator,Baik Sekali,1034/SK/BAN-PT/Akred/PT/XII/2020,2020,11,2025-12-08,Masih berlaku
1665,Politeknik Transportasi Darat Bali,Baik Sekali,1238/SK/BAN-PT/Ak/PT/XII/2023,2023,PTKL,2028-12-27,Masih berlaku
3064,Politeknik Transportasi Darat Indonesia - STTD,Baik Sekali,420/SK/BAN-PT/Ak/PT/VIII/2022,2022,PTKL,2027-08-09,Masih berlaku
2358,Politeknik Transportasi Sungai Danau dan Penyeberangan,Baik Sekali,131/SK/BAN-PT/Ak/PT/II/2023,2023,PTKL,2028-02-22,Masih berlaku
1869,Politeknik Tri Mitra Karya Mandiri,Baik,974/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,04,2028-12-05,Masih berlaku
728,Politeknik Tridaya Virtu Morosi,Baik,1787/SK/BAN-PT/Ak.P/PT/IX/2024,2024,09,2026-09-17,Masih berlaku
1856,Politeknik Triguna Tasikmalaya,Baik,947/SK/BAN-PT/Ak/PT/XI/2023,2023,04,2028-11-21,Masih berlaku
1612,Politeknik Trisila Dharma,Baik,100/SK/BAN-PT/Ak/PT/II/2024,2024,06,2029-02-06,Masih berlaku
852,Politeknik Tunas Garuda,Baik,1659/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,02,2026-08-18,Masih berlaku
941,Politeknik Tunas Pemuda,Baik,1597/SK/BAN-PT/Ak.S/PT/VIII/2024,2024,04,9999-01-01,Masih berlaku
2171,Politeknik Ubaya,Baik Sekali,405/SK/BAN-PT/Ak.KP/PT/VI/2023,2023,07,2028-02-21,Masih berlaku
3674,Politeknik Unggul LP3M,Baik,277/SK/BAN-PT/Akred/PT/III/2021,2021,01,2026-03-31,Masih berlaku
