No,Perguruan Tinggi,Program Studi,Program,Tanggal Terima,Status
1192,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Pendidikan Guru Madrasah Ibtidaiyah,S1,2019-05-08,Dikembalikan ke Kementerian (2019-06-12)
1191,Universitas Islam Negeri Sunan Kalijaga,Studi Agama Agama,S2,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1190,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Ilmu Hadits,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1189,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Ilmu Al-Quran dan Tafsir,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1188,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Manajemen Bisnis Syariah,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1187,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Ekonomi Syariah,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1186,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1185,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Bahasa dan Sastra Arab,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1184,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Manajemen Dakwah,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1183,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Pendidikan Bahasa Arab,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1181,Sekolah Tinggi Agama Islam Maarif Magetan,Pendidikan Islam Anak Usia Dini,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1195,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Komunikasi Penyiaran Islam,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1180,Sekolah Tinggi Agama Islam Maarif Magetan,Pendidikan Guru Madrasah Ibtidaiyah,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1179,Sekolah Tinggi Ilmu Tarbiyah Mambaul Ulum Jambi,Pendidikan Agama Islam,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1178,Sekolah Tinggi Agama Islam Muhammadiyah Probolinggo,Pendidikan Guru Madrasah Ibtidaiyah,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1177,STAI An-Nadwah Kuala Tungkal,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1176,STAI An-Nadwah Kuala Tungkal,Manajemen Bisnis Syariah,S1,2019-05-08,Dikembalikan ke Kementerian (2019-06-12)
1175,Sekolah Tinggi Ilmu Tarbiyah Mambaul Ulum Jambi,Pendidikan Bahasa Arab,S1,2019-05-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2019-06-12)
1174,Sekolah Tinggi Ilmu Tarbiyah Mambaul Ulum Jambi,Pendidikan Islam Anak Usia Dini,S1,2019-05-08,Dikembalikan ke Kementerian (2019-06-12)
1173,Sekolah Tinggi Ilmu Tarbiyah Mambaul Ulum Jambi,Perbankan Syariah,S1,2019-05-08,Dikembalikan ke Kementerian (2019-06-12)
1172,STAI Bumi Silampari,Hukum Tatanegara (Siyasah Syar'iyyah),S1,2019-05-08,Dikembalikan ke Kementerian (2019-06-12)
1171,Sekolah Tinggi Agama Islam Walisembilan Semarang,Pendidikan Islam Anak Usia Dini,S1,2019-05-08,Dikembalikan ke Kementerian (2019-06-12)
