No,Perguruan Tinggi,Program Studi,Program,Tanggal Terima,Status
4321,Sekolah Tinggi Agama Islam Persis Garut,B-152/DJ.I/Dt.I.III/PP.01/03/2025,S1,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4320,Sekolah Tinggi Agama Islam Persis Garut,Ilmu Hadits,S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4319,Institut Agama Islam Negeri Pontianak,Studi Islam,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4318,Universitas Islam Negeri K.H. Abdurrahman Wahid,Studi Islam,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4317,Universitas Nurul Jadid Probolinggo,Studi Islam,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4316,Universitas Islam Ahmad Dahlan,Bimbingan Penyuluhan Islam,S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4315,Institut Agama Islam Negeri Takengon,Ilmu Syariah,S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4314,Universitas Islam Negeri Raden Mas Said Surakarta,Studi Islam,S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4313,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ilmu Syariah,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4312,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Sejarah Peradaban Islam,S3,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4311,Institut Agama Islam Daar Al Uluum Asahan,Hukum Keluarga Islam (Ahwal Syakhshiyah),S2,2025-03-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4322,Universitas Brawijaya,Perencanaan Wilayah dan Kota,S1,2025-03-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4304,Universitas Pendidikan Nasional,Bahasa Inggris untuk Komunikasi Bisnis dan Profesional,S1 Terapan,2025-03-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4305,Politeknik Negeri Sriwijaya,Teknologi Rekayasa Pangan,S1 Terapan,2025-03-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4310,Sekolah Tinggi Teologi Baptis Papua,Teologi,S2,2025-03-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4306,STT Real Batam,Psikologi Kristen,S1,2025-03-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4309,"STT Tawangmangu, Jawa Tengah",Teologi,S2,2025-03-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4307,STT Global Misi Sejahtera (STT GMS) Surabaya,Teologi,S1,2025-03-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4308,STT Arastamar Riau,Teologi,S2,2025-03-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-03-19)
4294,Sekolah Tinggi Agama Islam Darud Dakwah Wal-Irsyad Parepare,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4284,Universitas Islam Negeri Walisongo Semarang,Ilmu Hadist,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4286,Sekolah Tinggi Agama Islam Miftahul Ulum Tasikmalaya,Hukum Ekonomi Syariah (Muamalah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4287,Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember,Ilmu Perpustakaan dan Informasi Islam,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4288,Sekolah Tinggi Ilmu Al- Qur’an dan Sains Al- Ishlah Lamongan Jawa Timur,Studi Islam,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4289,Sekolah Tinggi Ekonomi Ar-Risalah Sumatera Barat,Pariwisata Syariah,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4290,Institut Agama Islam Negeri Curup,Ilmu Falak,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4291,Institut Agama Islam Sultan Muhammad Syafiuddin Sambas,Pariwisata Syariah,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4292,Sekolah Tinggi Dirasat Islamiyah Imam Syafi’I Jember,Bahasa dan Sastra Arab,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4293,Sekolah Tinggi Ilmu Tarbiyah Al Hikmah Bumi Agung Way Kanan,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4295,Sekolah Tinggi Ilmu Syariah Ummul Ayman Pidie Jaya,Komunikasi dan Penyiaran Islam,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4296,Universitas Ibrahimy Sukorejo Situbondo,Ilmu Al-Qur’an dan Tafsir,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4297,Sekolah Tinggi Ilmu Islam dan Bahasa Arab Makassar,Ilmu Al-Qur’an dan Tafsir,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4298,UIN Ar-Raniry Banda Aceh,Manajemen Haji dan Umrah,S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4299,Sekolah Tinggi Ilmu Ekonom Syariah Mitra Karya Bekasi Jawa Barat,Hukum Ekonomi Syariah (Muamalah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4300,Sekolah Tinggi Dirasat Islamiyah Imam Syafi’I Jember,Hukum Ekonomi Syariah (Muamalah),S1,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4301,Institut Agama Islam Pangeran Dharma Kusuma,Hukum Ekonomi Syariah (Muamalah),S2,2025-02-19,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4283,Akademi Teknologi Maritim Patimban Subang,Manajemen Pelabuhan dan Logistik Maritim,S1 Terapan,2025-02-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4282,Akademi Bahasa Asing Sutopo,Bahasa Mandarin,D-III,2025-02-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4303,Universitas Syiah Kuala,Damai dan Resolusi Konflik,S2,2025-02-13,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4285,Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Pariwisata Syariah,S1,2025-02-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4302,Universitas Indonesia,Profesi Fisikawan Medis,Profesi,2025-02-11,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4280,Politeknik Kirana,Teknologi Rekayasa Aeronautika,S1 Terapan,2025-02-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4279,Politeknik Kirana,Teknologi Rekayasa Pemeliharan Pesawat Udara,S1 Terapan,2025-02-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4281,Politeknik Negeri Ambon,Destinasi Pariwisata,S1 Terapan,2025-02-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-25)
4276,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Studi Agama Agama,S1,2025-01-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4275,Universitas Islam An Nur Lampung,Studi Islam,S3,2025-01-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4274,Institut Agama Islam Darul Da’wah Wal Irsyad Polewali Mandar,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S2,2025-01-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4273,Universitas Nurul Jadid,Studi Islam,S2,2025-01-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4272,Fakultas Agama Islam Universitas Islam Indonesia Yogyakarta,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S2,2025-01-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4271,Universitas Darussalam Gontor,Ilmu Alquran dan Tafsir,S2,2025-01-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4270,Institut Agama Islam Nahdlatul Ulama Kebumen,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S2,2025-01-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4269,Sekolah Tinggi Agama Islam Al Hidayah Bogor,Ilmu Alquran dan Tafsir,S2,2025-01-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4278,Universitas Brawijaya,Ilmu Pemerintahan,S2,2025-01-20,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4277,Universitas Brawijaya,Ilmu Politik,S2,2025-01-20,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-02-04)
4252,UIN Ar-Raniry Banda Aceh,Manajemen Industri Halal,S1 Terapan,2025-01-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4255,Universitas Selamat Sri Kendal,Hukum Keluarga Islam (Ahwal Syakhshiyah),S1,2025-01-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4254,UIN Sunan Gunung Djati Bandung,Manajemen Industri Halal,S1 Terapan,2025-01-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4253,UIN Sunan Ampel Surabaya,Manajemen Industri Halal,S1 Terapan,2025-01-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4268,Universitas Negeri Surabaya,Ilmu Administrasi Negara (PSDKU Magetan),S1,2024-12-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4247,Akademi Komunitas Indobank,Manajemen Operasi Bisnis Digital,D-II,2024-12-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4248,Politeknik Negeri Jember,Manajemen Agribisnis,S1 Terapan,2024-12-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4267,Institut Teknologi Sepuluh Nopember,Pendidikan Profesi Arsitek,Profesi,2024-12-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4265,Universitas Brawijaya,Industri Peternakan Cerdas,S1,2024-12-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4266,Universitas Negeri Surabaya,Kecerdasan Artifisial,S1,2024-12-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4264,Universitas Negeri Surabaya,Agribisnis Digital,S1,2024-12-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4263,Universitas Negeri Surabaya,Biosains Hewan,S1,2024-12-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4262,Universitas Negeri Surabaya,Film dan Animasi,S1,2024-12-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4261,Universitas Andalas,Arkeologi,S1,2024-12-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4260,Universitas Negeri Surabaya,Pariwisata,S1,2024-12-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4259,Universitas Negeri Surabaya,Akuakultur,S1,2024-12-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4258,Universitas Negeri Surabaya,Teknologi Pangan dan Hasil Pertanian,S1,2024-12-23,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4251,Sekolah Tinggi Agama Islam Nahdlatul Ulama Rembang,Komunikasi dan Penyiaran Islam,S1,2024-12-20,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4250,UIN Sunan Ampel Surabaya,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S2,2024-12-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4249,UIN Raden Mas Said Surakarta,Studi Islam,S2,2024-12-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4257,Universitas Syiah Kuala,Bisnis Digital,S1,2024-12-17,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4246,Politeknik Negeri Balikpapan,Sistem Informasi Kota Cerdas,S1 Terapan,2024-12-17,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4245,Politeknik Negeri Balikpapan,Sistem Informasi Kota Cerdas,S1 Terapan,2024-12-17,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4256,Universitas Negeri Surabaya,Analisis Performa Olahraga,S1 Terapan,2024-12-13,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2025-01-14)
4237,Universitas Hasanuddin,56355/UN4.1/TP.01.06/2024,S1,2024-12-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4236,Universitas Negeri Padang,Antropologi,S1,2024-12-11,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4231,Politeknik Artificial Intelligence Budi Mulia Dua,Kecerdasan Buatan dan Robotik,S1 Terapan,2024-12-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4232,Politeknik Negeri Lampung,Bahasa Inggris untuk Komunikasi Bisnis dan Profesional,S1 Terapan,2024-12-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4235,Universitas Andalas,Statistika dan Sains Data,S1,2024-12-09,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4225,Sekolah Tinggi Teologi Harapan Baru Medan,Teologi,S1,2024-12-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4226,Sekolah Tinggi Teologi Kanaan Nusantara Semarang,Teologi,S2,2024-12-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4227,Sekolah Tinggi Teologi Yerusalem Baru Manado,Teologi,S3,2024-12-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4228,Sekolah Tinggi Teologi Rajawali Arastamar Indonesia (RAI) Batam,Teologi,S2,2024-12-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4224,Sekolah Tinggì Agama Kristen Protestan Negeri (STAKPN) Sentani,Teologi,S2,2024-12-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4214,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Manajemen Haji dan Umrah,S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4215,Universitas Insaniah Sumatera Utara,Hukum Pidana Islam (Jinayah),S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4220,Institut Agama Islam Negeri Metro,Ilmu Al-Quran dan Tafsir,S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4221,STAI Miftahul Huda Subang,Hukum Ekonomi Syariah (Muamalah),S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4222,Sekolah Tinggi Agama Islam Al- Kifayah Riau,Hukum Tatanegara (Siyasah Syar’iyyah),S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4223,STAI Al-Azhary Cianjur,Hukum Ekonomi Syariah (Muamalah),S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4217,Sekolah Tinggi Agama Islam Al- Kifayah Riau,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4216,Universitas Insaniah Sumatera Utara,Hukum Tatanegara (Siyasah Syar’iyyah),S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4219,IAIN Lhokseumawe,Ilmu Perpustakaan dan Informasi Islam,S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4218,Sekolah Tinggi Ilmu Syariah Nahdlatul Ulama Tangerang,Pemikiran Politik Islam,S1,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4234,Universitas Andalas,Linguistik,S3,2024-12-05,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4229,Politeknik Negeri Sriwijaya,Teknologi Budi Daya Perikanan /Teknologi Akuakultur,S1 Terapan,2024-12-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4230,Politeknik Balekambang Jepara,Agribisnis Peternakan,S1 Terapan,2024-12-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4233,Universitas Negeri Surabaya,Sosiologi,S2,2024-12-03,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-12-15)
4240,Politeknik AMA,Agribisnis Peternakan,S1 Terapan,2024-11-22,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-26)
4242,Universitas Negeri Jakarta,Ilmu Hukum,S1,2024-11-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-26)
4241,Universitas Muhammadiyah Surabaya,Studi Islam,S3,2024-11-14,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-26)
4238,Institut Komunikasi Dan Bisnis Lspr,Desain Media,S1 Terapan,2024-11-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-26)
4239,Politeknik Negeri Lampung,Teknologi Rekayasa Otomotif,S1 Terapan,2024-11-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-26)
4244,Universitas Negeri Yogyakarta,Desain Komunikasi Visual,S1,2024-11-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-26)
4243,Universitas Negeri Surabaya,Produksi Media,S1 Terapan,2024-11-06,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-26)
4200,Universitas Brawijaya,Kepemimpinan dan Inovasi Kebijakan,S3,2024-10-31,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-05)
4201,Universitas Brawijaya,Kepemimpinan dan Inovasi Kebijakan,S2,2024-10-31,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-05)
4199,Institut Teknologi Bandung,Sistem dan Teknologi Informasi,S2,2024-10-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-05)
4198,Universitas Negeri Padang,Tata Boga (PSDKU Payakumbuh),D-III,2024-10-26,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-11-05)
4184,UIN Kiai Haji Achmad Siddik Jember,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S3,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4202,UIN Kiai Haji Achmad Siddik Jember,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S3,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4203,Institut Agama Islam Ngawi,Studi Islam,S2,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4204,UIN Ar-Raniry Banda Aceh,Studi Islam,S3,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4205,Institut Agama Islam Negeri Madura,Ilmu Syariah,S3,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4188,Institut Agama Islam Negeri Madura,Ilmu Syariah,S3,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4187,Institut Agama Islam Negeri Madura,Ilmu Syariah,S3,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4186,Institut Agama Islam Negeri Madura,Studi Islam,S3,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4185,Institut Agama Islam Ngawi,Studi Islam,S2,2024-10-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4211,Politeknik Negeri Lampung,Produksi Media,S1 Terapan,2024-10-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4194,Politeknik Negeri Lampung,Produksi Media,S1 Terapan,2024-10-18,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4212,Universitas Hasanuddin,Kriminologi,S2,2024-10-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4195,Universitas Hasanuddin,Kriminologi,S2,2024-10-12,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4213,Universitas Diponegoro,Profesi Arsitek,Profesi,2024-10-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4196,Universitas Diponegoro,Pendidikan Profesi Arsitek,Profesi,2024-10-10,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4192,Akademi Komunitas Indobank,Desain Digital,D-II,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4190,Universitas Nurtanio,Teknologi Rekayasa Sistem Elektronika,S1 Terapan,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4191,Politeknik Negeri Banyuwangi,Teknologi Rekayasa Konstruksi Bangunan Gedung,S1 Terapan,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4209,Akademi Komunitas Indobank,Desain Digital,D-II,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4193,Politeknik Pertanian Negeri Pangkajene Kepulauan,Akuntansi Bisnis Digital,S1 Terapan,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4197,Politeknik Negeri Bali,Akuntansi Bisnis Digital,S1 Terapan,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4207,Universitas Nurtanio,Teknologi Rekayasa Sistem Elektronika,S1 Terapan,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4208,Politeknik Negeri Banyuwangi,Teknologi Rekayasa Konstruksi Bangunan Gedung,S1 Terapan,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4210,Politeknik Pertanian Negeri Pangkajene Kepulauan,Akuntansi Bisnis Digital,S1 Terapan,2024-10-08,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4189,Sekolah Tinggi Ilmu Agama Buddha Smaratungga Boyolali,Seni Budaya Buddha,S1,2024-10-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4206,Sekolah Tinggi Ilmu Agama Buddha Smaratungga Boyolali,Seni Budaya Buddha,S1,2024-10-07,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-29)
4181,Sekolah Tinggi Teologi Pantekasta SUMUT Aceh,Teologi,S2,2024-09-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4180,Sekolah Tinggi Teologi El-Shadday Jakarta,Teologi,S1,2024-09-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4183,Sekolah Tinggi Agama Kristen Cahaya Bangsa Indonesia Manado,Teologi,S1,2024-09-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4182,Sekolah Tinggi Teologi Kadesi Bogor,Teologi,S2,2024-09-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4177,Universitas Sebelas Maret,Profesi Arsitek,Profesi,2024-09-27,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4175,Politeknik Maritim AMI Makassar,Teknologi Rekayasa Operasi Kapal,S1 Terapan,2024-09-27,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4174,Politeknik Bombana,Peradilan Pidana,S1 Terapan,2024-09-27,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4173,Politeknik Bombana,Pengelolaan Perkebunan,S1 Terapan,2024-09-27,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4172,Politeknik Negeri Ujung Pandang,Efisiensi Energi,S3 Terapan,2024-09-27,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4179,Institut Teknologi Bandung,Perencanaan Wilayah dan Kota (PSDKU Kota Cirebon),S1,2024-09-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4178,Institut Teknologi Bandung,Kriya (PSDKU Kota Cirebon),S1,2024-09-24,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4171,Universitas Nurtanio,Teknologi Rekayasa Pemeliharan Pesawat Udara,S1 Terapan,2024-09-20,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4169,Institut Teknologi Sepuluh Nopember (ITS),Rekayasa Keselamatan Proses,S1,2024-09-04,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-09-10)
4176,Institut Teknologi Bandung,Profesi Arsitek,Profesi,2024-08-30,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-10-03)
4168,Universitas Indonesia,Hubungan Internasional,S3,2024-08-28,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-09-10)
4166,Politeknik Negeri Sambas,Pengelolaan Perkebunan,S1 Terapan,2024-08-27,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-09-10)
4164,Sekolah Tinggi Teologi Sriwijaya Palembang Sumatera Selatan,Teologi,S2,2024-08-27,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-09-10)
4165,Politeknik Negeri Bali,Bisnis Pariwisata,S3 Terapan,2024-08-27,Memenuhi Syarat Minimum Akreditasi. Keputusan tanggal( 2024-09-10)
