No,Provinsi SPPG,Kab./Kota SPPG,Alamat Dapur SPPG,Nama Yayasan
242,Papua Barat,Kaimana,"Jl. Perumahan Dpr Air Tiba, Kelurahan Krooy, Kecamatan Kaimana, Kaimana",Yayasan Kasih El- Shaday
243,Papua Barat,Kaimana,"Jl Pasir Lombo, Bantemi, Kelurahan Krooy, Kecamatan Kaimana, Kaimana",Yayasan Kasih El- Shaday
244,Papua Barat,Teluk Bintuni,Jalur 1 Sp.5 Kampung Argosigemerai,Rannuan Sangtorayaan Manokwari
245,Papua Barat Daya,Kota Sorong,"Jl. Pendidikan No. 22, Kel. Klabulu, Distrik Malaimsimsa, Kota Sorong Papua Barat Daya",Yayasan Keadilan Papua Sejahtera
246,Papua Pegunung an,Jayawijaya,"Jl. Bhayangkara, Distrik Wamena Kota, Kel. Sinakma, Jayawijaya, Prov. Papua Pegunungan.",Yayasan Kitong Bisa
247,Papua Pegunung an,Jayawijaya,"Jl. Bhayangkara, Kec. Wamena, Jayawijaya",Yayasan Pendidikan Islam ( Yapis ) Di Tanah Papua
248,Papua Tengah,Mimika,Jl. Cendrawasih Sp.3 Kuala Kendana Kelurahan Karang Senang Papua Tengah,Yayasan Kitong Bisa
249,Riau,Kabupaten Indragiri Hilir,"Jl. Kapten Mukhtar No. 12, Tagaraja, Kateman, Indragiri Hilir, Riau",Yayasan Komunitas Emak Sehat Inhil
250,Riau,Kota Pekanbaru,Jl Ega V No 7-8 Kel Sidomulyo Barat Kec Tuah Madani Kota Pekanbaru,Yayasan Sinergi Setia Tani
251,Riau,Rokan Hilir,Jl. Lintas Ujung Tanjung - Bagan Siapiapi. Km 35. Pematang Batu Hampar. Kec. Batu Hampar. Rokan. Hilir,Yayasan Intan Permata Rokan Hilir
252,Sulawesi Barat,Majene,Sirindu,Yayasan Pundi Amal Nusantara
253,Sulawesi Barat,Polewali Mandar,Jl. H. Andi Depu Kel. Takatidung,Darul Ilhamiyah Nusantara
254,Sulawesi Selatan,Bantaeng,"Jl. Bangau No. A31, Kel. Pallantikang",Cahaya Bumi Angkasa
255,Sulawesi Selatan,Bantaeng,Panaikang Kel. Bonto Manai,Cahaya Bumi Angkasa
256,Sulawesi Selatan,Bone,Jl. Reformasi,Wakaf Tunai Indonesia
257,Sulawesi Selatan,Bone,Jl. Poros Laccori (Samping Pasar Baru Pattiro),Wakaf Tunai Indonesia
258,Sulawesi Selatan,Bulukumba,"Jln. Dr. Samratulangi No.Lr.2, Caile",Darul Ilhamiyah Nusantara
259,Sulawesi Selatan,Bulukumba,Jalanjang,Yayasan Perguruan Amanna Gappa Indonesia
260,Sulawesi Selatan,Bulukumba,Kalumeme,Yayasan Bowo Garuda Indonesia
261,Sulawesi Selatan,Bulukumba,Caile,Sinar Cerah Masa Kini
262,Sulawesi Selatan,Gowa,Sokkolia,Cahaya Bumi Angkasa
263,Sulawesi Selatan,Gowa,"Bontocinde, Panakkukang",Cahaya Bumi Angkasa
264,Sulawesi Selatan,Gowa,Bili-Bili,Wakaf Tunai Indonesia
265,Sulawesi Selatan,Gowa,"Jl. Poros Galesong, Limbung",Nurul Ilham Makassar
266,Sulawesi Selatan,Gowa,"Jln Sultan Hasanuddin No. 40, Pandang-Pandang",Nurul Ilham Makassar
267,Sulawesi Selatan,Luwu Timur,Ussu,Yayasan Bowo Garuda Indonesia
268,Sulawesi Selatan,Makassar,Emy Saelan,Cahaya Bumi Angkasa
269,Sulawesi Selatan,Makassar,Gunung Sari,Nurul Ilham Makassar
270,Sulawesi Selatan,Makassar,Jl. Racing Centre,Nurul Ilham Makassar
271,Sulawesi Selatan,Makassar,Bangkala,Yasika Center Indonesia
272,Sulawesi Selatan,Makassar,Batua,Yayasan Perguruan Amanna Gappa Indonesia
273,Sulawesi Selatan,Maros,"Jl. Jemb. Lama No. 75, Bontoa",Wakaf Tunai Indonesia
274,Sulawesi Selatan,Maros,Maccini Baji,Hikmah Lewai Berkah
275,Sulawesi Selatan,Maros,Bontoa,Yayasan Pesantren Mandiri Makasar
276,Sulawesi Selatan,Pangkajene Dan Kepulauan,Jl. Poros Biringkassi,Cahaya Bumi Angkasa
277,Sulawesi Selatan,Pangkajene Dan Kepulauan,"Jl. Ambarala No 20, Tumampua",Cahaya Bumi Angkasa
278,Sulawesi Selatan,Pinrang,Lanrisang,Berkah Ininnawa Nusantara
279,Sulawesi Selatan,Pinrang,Maccorawalie,Yayasan Biharul Ulum Ma'arif
280,Sulawesi Selatan,Pinrang,Temmassarangnge,Yayasan Bowo Garuda Indonesia
281,Sulawesi Selatan,Sindenreng Rappang,Rijang Pittu,Yayasan Bowo Garuda Indonesia
282,Sulawesi Selatan,Soppeng,Jl. Kemakmuran No. 77 Lemba,Nurul Ilham Makassar
283,Sulawesi Selatan,Gowa,Jalan Poros Pallangga Desa Jenetallasa,Yayasan Cahaya Langowan Nusantara
284,Sulawesi Selatan,Bulukumba,"Jl. Dato Tiro Ela-ela, Kelurahan Kalumeme",Yayasan Bowo Garuda Indonesia
285,Sulawesi Selatan,Pinrang,Temmassarangnge,Yayasan Bowo Garuda Indonesia
286,Sulawesi Selatan,Makassar,JL. PETTARANI 2 KEL. TAMAMAUNG  KOTA MAKASSAR,YAYASAN TANGAN FATIMA BEKERJA
287,Sulawesi Selatan,Bantaeng,JL. GAGAK  KEL. PALANTIKANG KAB. BANTAENG,Yayasan Pendidikan Akasyah
288,Sulawesi Selatan,Kab. Pinrang,"Jl. Brigjen Katamso No. 27, Kel. Maccorawalie, Kode Pos 91212",Yayasan Organisasi Masyarakat Sipil Barisan Rakyat Peduli
289,Sulawesi Selatan,Maros,"Jl. poros makassar maros Darul Istiqamh, KM 25, Kelurahan Bontoa",Yayasan Pesantren Mandiri Makassar
290,Sulawesi Selatan,Pinrang,"Jl. Ir Juanda, Kelurahan Maccorawalie, Kecamatan Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan",Yayasan Biharul Ulum Ma'arif
291,Sulawesi Selatan,Kota Makassar,"Jl. Asrama Haji Sudiang, Kel Bakung",Bentara Sejarah Sulawesi
292,Sulawesi Selatan,Gowa,Jl Tambora Land III Tamanyeleng Kec Barombong Kab Gowa,Yayasan Pendidikan Akasyah
293,Sulawesi Selatan,Gowa,"Jl. Poros Sungguminasa Takalar, Kel. Mataallo, Kec. Bajeng, Kab. Gowa",Yayasan Pendidikan Akasyah
294,Sulawesi Selatan,Toraja Utara,"Jln.Pongtiku No. 46 Ranteapo, Toraja Utara",Peleton Media Kasih
295,Sulawesi Selatan,Kepulauan Selayar,"Jl. Sutoyo No. 4, Kel. Benteng, Kec. Benteng, Kab. Kepulauan Selayar",Yayasan Planet Bumi Indonesia
296,Sulawesi Selatan,Pinrang,"Jl. Monginsidi, Kel. Pacongang, Kec. Paleteang",Yayasan Wahana Penelitian dan Pengembangan Daerah
297,Sulawesi Tengah,Toli Toli,Panasakan,Yayasan Berkat Gemilang Nusantara
298,Sulawesi Tenggara,Bombana,"Jln. Ahmad Yani, Kasipute",Darul Ilhamiyah Nusantara
299,Sulawesi Tenggara,Kendari,Wowawanggu,Yayasan Lazuardi Kendari
300,Sulawesi Tenggara,Kolaka Timur,Woha,Yayasan Bowo Garuda Indonesia
301,Sulawesi Tenggara,Muna Barat,Barangka,Arman Hasa
302,Sulawesi Utara,Bolaang Mongondo w,"Jl. Trans Sulawesi, Desa Kosio, Kec. Dumoga Tengah, Bolaang Mongondow",-
303,Sulawesi Utara,Bolaang Mongondo w Utara,"Jln. Trans Sulawesi, Desa Tombulang Timur Kec. Pinogaluman Bolmut",-
304,Sulawesi Utara,Kotamobag u,"Jl. Adampe Dolot, Kelurahan Mogolaing Kec. Kotamobagu Barat",-
305,Sumatera Barat,Kota Payakumb uh,"Jalan Raya Gajah Mada Lingkar Utara, Koto Baru",-
306,Sumatera Barat,Pesisir Selatan,"Kampung Luhung, Nagari Pasar Baru, Bayang, Pesisir Selatan",Yayasan Tuah Cipta Berdaya
307,Sumatera Selatan,Banyuasin,Jl. Thalib Wali No.03-04 Rt.10 Rw.04 Pangkalan Balai Banyuasin Iii Banyuasin,Yayasan Al Fatih Center Banyuasin
308,Sumatera Selatan,Ogan Komering Ilir,"Perumahan Palem Agung, Kel.Kutaraya Rt.011",Yayasan Sahabat Pelangi
309,Sumatera Selatan,Ogan Komering Ulu,"Jln. Imam Bonjol, Simpang 3 Lekis, Rt018/Rw006",Yayasan Sahabat Pelangi
310,Sumatera Selatan,Palembang,Jl.Sukawinatan Rt.68 Rw.10 No.94,Yayasan Pendidikan Gani Nusantara
311,Sumatera Utara,Deli Serdang,Jl. M. Yusuf Jintan Desa Percut,Yayasan Cahaya Semesta Bersama
312,Sumatera Utara,Asahan,"Jl. Merpati, Gambir Baru, Kisaran Timur, Asahan,",Yayasan Insan Mandiri Berkemajuan
313,Sumatera Utara,Kota Binjai,"Jl. T. Amir Hamzah, Jalan Pinus Lingkungan V, Kel. Jati Utomo",Yayasan Cahaya Semesta Bersama
314,Sumatera Utara,Kota Medan,"Jl. Perbatasan, Kelurahan Siti Rejo Ii",Yayasan Cahaya Semesta Bersama
315,Sumatera Utara,Nias,"Jl. Gunung Sitoli, Tulumbaho, Kec Gido, Nias",Yayasan Insan Mandiri Berkemajuan
