No,Provinsi,Kabupaten,Kecamatan,KB Sederajat,TK Sederajat,TPA,SPS,SD Sederajat,SMP Sederajat,SMA Sederajat,SMK Sederajat,SLB,DIKMAS,Total
4054,MALUKU UTARA,KOTA TIDORE KEPULAUAN,OBA TENGAH,144,281,0,0,682,560,272,1,0,0,1940
4055,MALUKU UTARA,KOTA TIDORE KEPULAUAN,OBA UTARA,260,612,0,0,1473,894,186,40,1,191,3657
4056,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE,67,620,0,0,1208,1160,49,457,0,279,3840
4057,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE SELATAN,1,324,0,0,958,448,498,80,0,11,2320
4058,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE TIMUR,23,161,0,0,859,435,235,62,46,143,1964
4059,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE UTARA,102,403,0,0,1264,1131,971,0,0,44,3915
4060,NUSA TENGGARA BARAT,KAB. BIMA,AMBALAWI,794,997,0,69,1951,503,319,77,30,888,5628
4061,NUSA TENGGARA BARAT,KAB. BIMA,BELO,764,710,0,95,2035,294,249,0,88,1170,5405
4062,NUSA TENGGARA BARAT,KAB. BIMA,BOLO,1957,1435,0,114,2193,1325,1101,399,22,957,9503
4063,NUSA TENGGARA BARAT,KAB. BIMA,DONGGO,1124,588,0,43,2157,583,175,114,2,106,4892
4064,NUSA TENGGARA BARAT,KAB. BIMA,LAMBITU,322,278,0,0,569,218,179,0,0,33,1599
4065,NUSA TENGGARA BARAT,KAB. BIMA,LAMBU,2159,1582,42,0,2600,808,690,716,40,1471,10108
4066,NUSA TENGGARA BARAT,KAB. BIMA,LANGGUDU,896,1251,0,0,2246,811,301,226,123,336,6190
4067,NUSA TENGGARA BARAT,KAB. BIMA,MADA PANGGA,980,1009,75,56,2057,355,507,84,79,577,5779
4068,NUSA TENGGARA BARAT,KAB. BIMA,MONTA,913,1062,0,194,2519,642,318,140,0,268,6056
4069,NUSA TENGGARA BARAT,KAB. BIMA,PALIBELO,1173,900,0,147,1116,344,105,10,30,996,4821
4070,NUSA TENGGARA BARAT,KAB. BIMA,PARADO,446,277,0,0,315,230,298,0,0,0,1566
4071,NUSA TENGGARA BARAT,KAB. BIMA,SANGGAR,289,462,0,0,1256,169,51,69,0,248,2544
4072,NUSA TENGGARA BARAT,KAB. BIMA,SAPE,2447,1356,0,0,3498,1982,798,0,52,1589,11722
4073,NUSA TENGGARA BARAT,KAB. BIMA,SOROMANDI,687,611,0,75,1140,587,128,402,1,195,3826
4074,NUSA TENGGARA BARAT,KAB. BIMA,TAMBORA,359,187,34,0,671,197,36,136,0,275,1895
4075,NUSA TENGGARA BARAT,KAB. BIMA,WAWO,447,547,0,64,1256,417,324,0,0,28,3083
4076,NUSA TENGGARA BARAT,KAB. BIMA,WERA,1485,1242,0,0,2770,685,539,31,37,39,6828
4077,NUSA TENGGARA BARAT,KAB. BIMA,WOHA,1412,1442,0,117,2777,1350,817,22,47,1215,9199
4078,NUSA TENGGARA BARAT,KAB. DOMPU,DOMPU,1883,1076,0,207,2894,2280,1589,254,9,1404,11596
4079,NUSA TENGGARA BARAT,KAB. DOMPU,HU`U,863,334,0,346,1850,828,140,357,78,1118,5914
