No,Provinsi,Kabupaten,Kecamatan,KB Sederajat,TK Sederajat,TPA,SPS,SD Sederajat,SMP Sederajat,SMA Sederajat,SMK Sederajat,SLB,DIKMAS,Total
672,D.I. YOGYAKARTA,KAB. KULON PROGO,PANJATAN,24,28,0,2,32,4,0,1,1,1,93
673,D.I. YOGYAKARTA,KAB. KULON PROGO,PENGASIH,31,31,3,30,36,6,3,2,0,6,148
674,D.I. YOGYAKARTA,KAB. KULON PROGO,SAMIGALUH,22,25,0,14,31,7,1,2,0,2,104
675,D.I. YOGYAKARTA,KAB. KULON PROGO,SENTOLO,30,39,2,27,35,9,2,3,1,4,152
676,D.I. YOGYAKARTA,KAB. KULON PROGO,TEMON,17,28,0,5,27,6,1,4,0,2,90
677,D.I. YOGYAKARTA,KAB. KULON PROGO,WATES,29,40,5,5,43,16,7,8,2,11,166
678,D.I. YOGYAKARTA,KAB. SLEMAN,BERBAH,10,23,5,4,24,9,5,3,2,2,87
679,D.I. YOGYAKARTA,KAB. SLEMAN,CANGKRINGAN,9,18,1,18,21,6,4,2,1,0,80
680,D.I. YOGYAKARTA,KAB. SLEMAN,DEPOK,38,72,11,20,56,21,14,10,5,22,269
681,D.I. YOGYAKARTA,KAB. SLEMAN,GAMPING,15,48,11,15,40,15,8,4,2,8,166
682,D.I. YOGYAKARTA,KAB. SLEMAN,GODEAN,9,32,8,18,34,9,2,2,1,4,119
683,D.I. YOGYAKARTA,KAB. SLEMAN,KALASAN,16,49,9,10,37,11,7,3,2,6,150
684,D.I. YOGYAKARTA,KAB. SLEMAN,MINGGIR,6,22,3,9,24,3,1,1,1,1,71
685,D.I. YOGYAKARTA,KAB. SLEMAN,MLATI,19,53,7,14,43,17,11,3,1,9,177
686,D.I. YOGYAKARTA,KAB. SLEMAN,MOYUDAN,5,22,0,12,22,5,1,3,1,4,76
687,D.I. YOGYAKARTA,KAB. SLEMAN,NGAGLIK,31,62,11,8,45,14,8,3,5,10,197
688,D.I. YOGYAKARTA,KAB. SLEMAN,NGEMPLAK,16,30,4,17,29,8,4,2,1,6,117
689,D.I. YOGYAKARTA,KAB. SLEMAN,PAKEM,12,21,2,12,29,12,8,4,2,0,102
690,D.I. YOGYAKARTA,KAB. SLEMAN,PRAMBANAN,6,26,2,23,30,9,6,2,1,4,109
691,D.I. YOGYAKARTA,KAB. SLEMAN,SEYEGAN,6,21,0,11,29,5,1,4,1,2,80
692,D.I. YOGYAKARTA,KAB. SLEMAN,SLEMAN,23,39,6,14,40,13,5,4,1,7,152
693,D.I. YOGYAKARTA,KAB. SLEMAN,TEMPEL,9,31,2,19,34,6,3,5,2,0,111
694,D.I. YOGYAKARTA,KAB. SLEMAN,TURI,7,17,1,12,23,6,1,3,1,4,75
695,D.I. YOGYAKARTA,KOTA YOGYAKARTA,DANUREJAN,1,8,1,4,6,3,0,1,0,2,26
696,D.I. YOGYAKARTA,KOTA YOGYAKARTA,GEDONGTENGEN,0,11,0,3,6,5,1,1,0,4,31
697,D.I. YOGYAKARTA,KOTA YOGYAKARTA,GONDOKUSUMAN,7,21,4,7,17,11,10,3,0,20,100
698,D.I. YOGYAKARTA,KOTA YOGYAKARTA,GONDOMANAN,2,5,2,13,9,2,4,0,1,2,40
699,D.I. YOGYAKARTA,KOTA YOGYAKARTA,JETIS,1,14,0,16,15,7,4,4,0,2,63
700,D.I. YOGYAKARTA,KOTA YOGYAKARTA,KOTAGEDE,6,23,2,15,19,5,5,0,1,4,80
701,D.I. YOGYAKARTA,KOTA YOGYAKARTA,KRATON,3,12,2,2,5,2,0,0,1,2,29
702,D.I. YOGYAKARTA,KOTA YOGYAKARTA,MANTRIJERON,9,20,2,15,12,6,4,3,1,5,77
703,D.I. YOGYAKARTA,KOTA YOGYAKARTA,MERGANGSAN,7,21,5,6,12,5,4,2,1,9,72
704,D.I. YOGYAKARTA,KOTA YOGYAKARTA,NGAMPILAN,4,8,1,0,9,2,4,0,0,2,30
705,D.I. YOGYAKARTA,KOTA YOGYAKARTA,PAKUALAMAN,1,8,0,1,5,1,0,0,0,1,17
706,D.I. YOGYAKARTA,KOTA YOGYAKARTA,TEGALREJO,9,20,4,6,14,4,4,1,0,5,67
707,D.I. YOGYAKARTA,KOTA YOGYAKARTA,UMBULHARJO,20,42,14,13,27,10,6,12,3,17,164
708,D.I. YOGYAKARTA,KOTA YOGYAKARTA,WIROBRAJAN,2,17,3,15,10,3,4,1,1,4,60
709,D.K.I. JAKARTA,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,0,8,0,7,8,5,1,1,0,1,31
710,D.K.I. JAKARTA,KAB. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,1,9,0,9,7,3,1,0,0,1,31
711,D.K.I. JAKARTA,KOTA JAKARTA BARAT,CENGKARENG,34,133,0,73,148,71,26,26,2,31,544
712,D.K.I. JAKARTA,KOTA JAKARTA BARAT,GROGOL PETAMBURAN,22,51,0,26,53,35,18,15,1,39,260
713,D.K.I. JAKARTA,KOTA JAKARTA BARAT,KALI DERES,63,129,0,45,141,77,34,26,4,31,550
714,D.K.I. JAKARTA,KOTA JAKARTA BARAT,KEBON JERUK,48,85,2,20,82,40,21,14,7,25,344
